date,name,title,kind,shares,price,total_value,source
2026-05-13,Gisel Ruiz,Director,buy,6151,8.13,50007.63,Form 4 (seeded)
2026-05-14,Joseph Holland,Officer,buy,12484,8.0,99872.0,Form 4 (seeded)
2026-05-14,William Cyr,Director,buy,6000,8.52,51120.0,Form 4 (seeded)
2026-05-14,Kelly Kennedy,Director,buy,2500,8.4,21000.0,Form 4 (seeded)
2026-05-14,Peter Pappas,Insider,buy,3500,8.51,29785.0,Form 4 (seeded)
2026-05-15,Stephanie Coon,CSO,buy,5895,8.42,49635.9,Form 4 (seeded)
2026-05-15,Kofi Owusu Amoo-Gottfried,Director,buy,2375,8.45,20068.75,Form 4 (seeded)
